id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kunjungan,jumlah_kunjungan,satuan,tahun
69,32,JAWA BARAT,3275,KOTA BEKASI,KUNJUNGAN GANGGUAN JIWA,34843,ORANG,2019
70,32,JAWA BARAT,3276,KOTA DEPOK,KUNJUNGAN RAWAT JALAN,1809633,ORANG,2019
71,32,JAWA BARAT,3276,KOTA DEPOK,KUNJUNGAN RAWAT INAP,4824,ORANG,2019
72,32,JAWA BARAT,3276,KOTA DEPOK,KUNJUNGAN GANGGUAN JIWA,6729,ORANG,2019
73,32,JAWA BARAT,3277,KOTA CIMAHI,KUNJUNGAN RAWAT JALAN,792255,ORANG,2019
74,32,JAWA BARAT,3277,KOTA CIMAHI,KUNJUNGAN RAWAT INAP,0,ORANG,2019
75,32,JAWA BARAT,3277,KOTA CIMAHI,KUNJUNGAN GANGGUAN JIWA,7091,ORANG,2019
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KUNJUNGAN RAWAT JALAN,615411,ORANG,2019
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KUNJUNGAN RAWAT INAP,0,ORANG,2019
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KUNJUNGAN GANGGUAN JIWA,16610,ORANG,2019
79,32,JAWA BARAT,3279,KOTA BANJAR,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
80,32,JAWA BARAT,3279,KOTA BANJAR,KUNJUNGAN RAWAT INAP,0,ORANG,2019
81,32,JAWA BARAT,3279,KOTA BANJAR,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,KUNJUNGAN RAWAT JALAN,2282171,ORANG,2020
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,KUNJUNGAN RAWAT INAP,7815,ORANG,2020
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,KUNJUNGAN GANGGUAN JIWA,6839,ORANG,2020
85,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KUNJUNGAN RAWAT JALAN,1406191,ORANG,2020
86,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KUNJUNGAN RAWAT INAP,6914,ORANG,2020
87,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KUNJUNGAN GANGGUAN JIWA,7363,ORANG,2020
88,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KUNJUNGAN RAWAT JALAN,40497,ORANG,2020
89,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KUNJUNGAN RAWAT INAP,33632,ORANG,2020
90,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KUNJUNGAN GANGGUAN JIWA,38409,ORANG,2020
91,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KUNJUNGAN RAWAT JALAN,1480790,ORANG,2020
92,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KUNJUNGAN RAWAT INAP,3128,ORANG,2020
93,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2020
94,32,JAWA BARAT,3205,KABUPATEN GARUT,KUNJUNGAN RAWAT JALAN,614908,ORANG,2020
95,32,JAWA BARAT,3205,KABUPATEN GARUT,KUNJUNGAN RAWAT INAP,24914,ORANG,2020
96,32,JAWA BARAT,3205,KABUPATEN GARUT,KUNJUNGAN GANGGUAN JIWA,5841,ORANG,2020
